event_id,event_name,event_date,location,tags
1,Explorer Motor Retreat,2025-05-28,Stockport,"['travel', 'automobiles', 'cars', 'entrepreneurship', 'business']"
2,Eco Odyssey Showcase,2025-06-12,Preston,"['travel', 'travel', 'nature']"
3,Nurture Retreat,2025-05-27,Manchester,['parenting']
4,Nurture Festival,2025-05-30,Bolton,['parenting']
5,Vogue Arena Expo,2025-06-13,Bolton,"['education', 'gaming', 'fashion']"
6,Forge Pulse Conclave,2025-06-13,Preston,"['fitness', 'entrepreneurship']"
7,Rally Family Conclave,2025-05-29,Manchester,"['parenting', 'automobiles']"
8,Masterpiece Experience,2025-06-04,Liverpool,['art']
9,Clan Speed Conclave,2025-06-11,Stockport,"['cars', 'family']"
10,Enlighten Vitality Retreat,2025-05-29,Manchester,"['learning', 'fitness', 'music']"
11,Workshop Retreat,2025-05-28,Bolton,['crafts']
12,Handmade Canvas Retreat,2025-06-09,Liverpool,"['art', 'crafts']"
13,Road Serenity Retreat,2025-06-11,Preston,"['nature', 'automobiles', 'gaming']"
14,Bond Retreat,2025-06-14,Manchester,['family']
15,Auto Vitality Expo,2025-06-19,Preston,"['fitness', 'nature', 'cars']"
16,Auto Pulse Conclave,2025-05-28,Manchester,"['fitness', 'family', 'cars']"
17,Rhythm Festival,2025-06-16,Liverpool,['music']
18,Pulse Conclave,2025-06-11,Liverpool,['fitness']
19,Runway Virtual Conclave,2025-06-13,Liverpool,"['fashion', 'gaming']"
20,Quest Chic Experience,2025-06-12,Stockport,"['gaming', 'beauty']"
21,Elegance Forge Conclave,2025-06-11,Bolton,"['entrepreneurship', 'beauty']"
22,Academy Mind Retreat,2025-06-23,Liverpool,"['education', 'learning', 'gaming']"
23,Eco Enterprise Experience,2025-06-05,Liverpool,"['fitness', 'business', 'travel', 'nature']"
24,Kin Canvas Experience,2025-05-26,Stockport,"['art', 'parenting']"
25,Vitality Forge Summit,2025-05-30,Preston,"['travel', 'fitness', 'music', 'entrepreneurship', 'business']"
26,Odyssey Gallery Summit,2025-05-27,Liverpool,"['art', 'travel', 'travel']"
27,Wanderlust Summit Expo,2025-06-22,Stockport,"['business', 'travel']"
28,Eco Venture Retreat,2025-05-27,Manchester,"['business', 'entrepreneurship', 'music', 'travel', 'nature']"
29,Explorer Bloom Summit,2025-06-22,Preston,"['nature', 'travel']"
30,Epic Serenity Expo,2025-06-09,Bolton,"['nature', 'travel', 'gaming', 'fashion']"
31,Odyssey Vogue Summit,2025-06-07,Liverpool,"['travel', 'gaming', 'fashion', 'business']"
32,Knowledge Vogue Retreat,2025-06-06,Liverpool,"['family', 'fashion', 'education']"
33,Quest Craft Showcase,2025-06-05,Bolton,"['fashion', 'gaming', 'crafts', 'diy']"
34,Bloom Handmade Expo,2025-06-21,Stockport,"['travel', 'nature', 'crafts', 'travel']"
35,FitFest Concert Gala,2025-06-06,Preston,"['business', 'entrepreneurship', 'fitness', 'music']"
36,Family Drive Festival,2025-06-18,Preston,"['cars', 'parenting', 'gaming']"
37,Learn Explorer Summit,2025-06-03,Liverpool,"['education', 'learning', 'travel', 'nature']"
38,Wild Rhythm Conclave,2025-06-10,Manchester,"['fitness', 'music', 'travel', 'diy', 'nature']"
39,Canvas Forge Gala,2025-06-20,Preston,"['art', 'entrepreneurship', 'diy']"
40,Innovate Drive Summit,2025-06-07,Manchester,"['business', 'entrepreneurship', 'cars', 'parenting']"
41,Eco Wanderlust Showcase,2025-06-13,Bolton,"['travel', 'nature', 'art']"
42,Insight Discovery Conclave,2025-06-17,Manchester,"['nature', 'education', 'learning']"
43,Epic Vogue Conclave,2025-06-01,Preston,"['travel', 'nature', 'gaming', 'fashion']"
44,Runway Epic Expo,2025-06-15,Manchester,"['gaming', 'fashion']"
45,Melody Radiance Gala,2025-06-23,Bolton,"['beauty', 'music']"
46,Venture Startup Conclave,2025-06-01,Bolton,"['business', 'entrepreneurship']"
47,FitFest Concert Festival,2025-06-03,Preston,"['fitness', 'music']"
48,Knowledge Summit,2025-06-01,Bolton,['education']
49,Explorer Family Showcase,2025-05-31,Stockport,"['parenting', 'travel']"
50,Wanderlust Gala,2025-06-07,Stockport,['travel']
51,Rally Clan Summit,2025-06-23,Preston,"['family', 'automobiles', 'fitness', 'music']"
52,Knowledge Odyssey Expo,2025-06-18,Liverpool,"['travel', 'diy', 'education', 'learning', 'entrepreneurship']"
53,Bloom Venture Conclave,2025-06-14,Preston,"['nature', 'travel', 'learning', 'entrepreneurship', 'business']"
54,Glamour Gala,2025-06-21,Manchester,['beauty']
55,Road Wanderlust Experience,2025-06-10,Preston,"['nature', 'travel', 'automobiles', 'fashion']"
56,Maker Crafted Expo,2025-06-03,Stockport,"['crafts', 'diy', 'beauty']"
57,Auto Bloom Summit,2025-05-29,Bolton,"['cars', 'fitness', 'nature', 'travel']"
58,Bloom Journey Expo,2025-06-06,Stockport,"['business', 'travel', 'nature']"
